,burned_areas,fire_data,qty_sensor
0,[1],1,01
1,[1],2,01
2,[1],3,01
3,[1],4,01
4,[1],5,01
5,[1],6,01
6,[1],7,01
7,[1],8,01
8,[1],9,01
9,[1],10,01
10,[1],11,01
11,[1],12,01
12,[1],13,01
13,[1],14,01
14,[1],15,01
15,[1],16,01
16,[1],17,01
17,[1],18,01
18,[1],19,01
19,"[1, 3]",1,04
20,"[1, 2, 3, 4]",2,04
21,"[1, 2, 3, 4]",3,04
22,"[1, 2, 3, 4]",4,04
23,"[1, 2, 3, 4]",5,04
24,"[1, 2, 3, 4]",6,04
25,"[1, 2, 3, 4]",7,04
26,"[1, 2, 3, 4]",8,04
27,"[1, 2, 3, 4]",9,04
28,"[1, 2, 3, 4]",10,04
29,"[1, 2, 3, 4]",11,04
30,"[1, 2, 3, 4]",12,04
31,"[1, 2, 4]",13,04
32,"[1, 2, 3, 4]",14,04
33,"[1, 2, 3, 4]",15,04
34,"[1, 2, 3, 4]",16,04
35,"[1, 2, 3, 4]",17,04
36,"[1, 2, 3, 4]",18,04
37,"[1, 2, 3, 4]",19,04
38,"[1.0, 2.0, 4.0, 7.0]",1,09
39,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",2,09
40,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",3,09
41,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",4,09
42,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",5,09
43,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",6,09
44,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",7,09
45,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]",8,09
46,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",9,09
47,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",10,09
48,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",11,09
49,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",12,09
50,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 9.0]",13,09
51,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",14,09
52,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",15,09
53,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",16,09
54,"[1.0, 2.0, 4.0, 5.0, 7.0, 8.0, 9.0]",17,09
55,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",18,09
56,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0]",19,09
57,"[1, 2, 5, 6, 9]",1,16
58,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16]",2,16
59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",3,16
60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",4,16
61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",5,16
62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6,16
63,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",7,16
64,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]",8,16
65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",9,16
66,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",10,16
67,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16]",11,16
68,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16]",12,16
69,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 16]",13,16
70,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",14,16
71,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",15,16
72,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,16
73,"[1, 2, 5, 6, 7, 9, 10, 11, 13, 14, 15]",17,16
74,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",18,16
75,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",19,16
76,"[1, 2, 3, 6, 7, 11, 12, 16]",1,25
77,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24]",2,25
78,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",3,25
79,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25]",4,25
80,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",5,25
81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",6,25
82,"[1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",7,25
83,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 21, 22, 23]",8,25
84,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",9,25
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25]",10,25
86,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25]",11,25
87,"[2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 23, 24, 25]",12,25
88,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19, 20]",13,25
89,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",14,25
90,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",15,25
91,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",16,25
92,"[1, 2, 6, 7, 11, 12, 13, 16, 17, 18, 19, 21, 22, 23, 24]",17,25
93,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",18,25
94,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",19,25
